sub_feature_a,sub_feature_b,mean_abs_interaction
Vincent RA - Query Classification,Task: free_form_message,0.0026145661249756813
Vincent RA - New Conversation Started,Manage - Document Analyzed in Vincent,0.0021293300669640303
Vincent RA - Task submission,Task: free_form_message,0.0018128970405086875
Work - Work Opened,Manage - Document Analyzed in Vincent,0.0017535986844450235
Manage - Document Analyzed in Vincent,Matter - AI Action Generated,0.0016856398433446884
Manage - Recent Work Conversation Opened,Vincent RA - Query Classification,0.0010942044900730252
Vincent RA - Jurisdiction Selected,Task: support_proposition,0.0
Manage - Document Analyzed in Vincent,Vincent RA - Tables Empty Table Selected,0.0
Manage - Document Analyzed in Vincent,Task: support_proposition,0.0
Matter - AI Action Generated,Task: support_proposition,0.0
Matter - AI Action Generated,Vincent RA - Tables Empty Table Selected,0.0
Work - Work Opened,Vincent RA - Tables Empty Table Selected,0.0
Vincent RA - Jurisdiction Selected,Vincent RA - Tables Empty Table Selected,0.0
Task: free_form_message,Task: support_proposition,0.0
Vincent RA - Document upload,Task: support_proposition,0.0
Task: free_form_message,Manage - Document Analyzed in Vincent,0.0
Vincent RA - Recent Conversation Opened,Vincent RA - Tables Empty Table Selected,0.0
Vincent RA - Recent Conversation Opened,Task: support_proposition,0.0
Workflow: others,Manage - Document Analyzed in Vincent,0.0
Vincent RA - Recent Conversation Opened,Manage - Document Analyzed in Vincent,0.0
Vincent RA - Jurisdiction Selected,Manage - Document Analyzed in Vincent,0.0
Workflow: others,Task: support_proposition,0.0
Workflow: others,Vincent RA - Tables Empty Table Selected,0.0
Work - Work Opened,Task: support_proposition,0.0
Task: free_form_message,Vincent RA - Jurisdiction Selected,0.0
Task: free_form_message,Vincent RA - Tables Empty Table Selected,0.0
Vincent RA - Document upload,Vincent RA - Tables Empty Table Selected,0.0
Text Editor Opened,Vincent RA - Tables Empty Table Selected,0.0
Vincent RA - Legal Authorities Tab Viewed,Task: support_proposition,0.0
Vincent RA - Legal Authorities Tab Viewed,Vincent RA - Tables Empty Table Selected,0.0
Manage - Recent Work Conversation Opened,Vincent RA - Tables Empty Table Selected,0.0
Manage - Recent Work Conversation Opened,Task: support_proposition,0.0
Vincent RA - New Conversation Started,Task: support_proposition,0.0
Vincent RA - New Conversation Started,Vincent RA - Tables Empty Table Selected,0.0
Vincent RA - Task submission,Vincent RA - Query Classification,0.0
Manage - Recent Work Conversation Opened,Task: free_form_message,0.0
Vincent RA - Task submission,Manage - Document Analyzed in Vincent,0.0
Vincent RA - Task submission,Task: support_proposition,0.0
Vincent RA - Task submission,Vincent RA - Tables Empty Table Selected,0.0
Vincent RA - Query Classification,Workflow: default,0.0
Work - Work Opened (Excludes App Switcher),Vincent RA - Tables Empty Table Selected,0.0
Work - Work Opened (Excludes App Switcher),Task: support_proposition,0.0
Work - Work Opened (Excludes App Switcher),Manage - Document Analyzed in Vincent,0.0
Vincent RA - Query Classification,Manage - Document Analyzed in Vincent,0.0
Vincent RA - Query Classification,Task: support_proposition,0.0
Vincent RA - Query Classification,Vincent RA - Tables Empty Table Selected,0.0
Workflow: default,Workflow: others,0.0
Workflow: default,Task: free_form_message,0.0
